,fold,embedding,find,original,per
0,0,16,6377,12205,0.5224907824662024
1,0,32,6601,12205,0.5408439164276936
2,0,64,6631,12205,0.5433019254403932
3,0,128,6619,12205,0.5423187218353134
4,0,256,6624,12205,0.5427283900040967
5,0,512,6611,12205,0.5416632527652602
6,0,1024,6662,12205,0.5458418680868496
7,1,16,6451,13020,0.49546850998463904
8,1,32,6684,13020,0.5133640552995392
9,1,64,6728,13020,0.5167434715821813
10,1,128,6754,13020,0.5187403993855607
11,1,256,6819,13020,0.5237327188940092
12,1,512,6810,13020,0.5230414746543779
13,1,1024,6760,13020,0.5192012288786483
14,2,16,8537,15784,0.540864166244298
15,2,32,8721,15784,0.552521540800811
16,2,64,8846,15784,0.5604409528636594
17,2,128,8836,15784,0.5598073998986315
18,2,256,8864,15784,0.5615813482007096
19,2,512,8875,15784,0.5622782564622403
20,2,1024,8902,15784,0.5639888494678155
