pert_id,MOA
BRD-K73196317,5-HT Receptor_Activator
BRD-K21806131,5-HT Receptor_Activator
BRD-K00234327,5-HT Receptor_Activator
BRD-K59163477,5-HT Receptor_Activator
BRD-A31195449,5-HT Receptor_Activator
BRD-K06895174,5-HT Receptor_Activator
BRD-K93461745,5-HT Receptor_Activator
BRD-K17868609,5-HT Receptor_Activator
BRD-A54845972,5-HT Receptor_Activator
BRD-A53077924,5-HT Receptor_Activator
BRD-K72166146,5-HT Receptor_Activator
BRD-K70358946,5-HT Receptor_Activator
BRD-A39052811,5-HT Receptor_Activator
BRD-K89997465,5-HT Receptor_Inhibitor
BRD-K75958195,5-HT Receptor_Inhibitor
BRD-K50866992,5-HT Receptor_Inhibitor
BRD-K70778732,5-HT Receptor_Inhibitor
BRD-K90789829,5-HT Receptor_Inhibitor
BRD-K49671696,5-HT Receptor_Inhibitor
BRD-K75615183,5-HT Receptor_Inhibitor
BRD-A64977602,5-HT Receptor_Inhibitor
BRD-A19195498,5-HT Receptor_Inhibitor
BRD-A44133049,5-HT Receptor_Inhibitor
BRD-K89055274,5-HT Receptor_Inhibitor
BRD-K48722833,5-HT Receptor_Inhibitor
BRD-A84481105,5-HT Receptor_Inhibitor
BRD-K68867920,5-HT Receptor_Inhibitor
BRD-A62035778,5-HT Receptor_Inhibitor
BRD-A30435184,5-HT Receptor_Inhibitor
BRD-A00993607,5-HT Receptor_Inhibitor
BRD-K29582115,5-HT Receptor_Inhibitor
BRD-K08924299,5-HT Receptor_Inhibitor
BRD-K46742498,5-HT Receptor_Inhibitor
BRD-A51829654,5-HT Receptor_Inhibitor
BRD-K53857191,5-HT Receptor_Inhibitor
BRD-K56699285,5-HT Receptor_Inhibitor
BRD-K24201553,5-HT Receptor_Inhibitor
BRD-K60762818,5-HT Receptor_Inhibitor
BRD-K28029915,5-HT Receptor_Inhibitor
BRD-A79226577,5-HT Receptor_Inhibitor
BRD-K39915878,5-HT Receptor_Inhibitor
BRD-A19736161,5-HT Receptor_Inhibitor
BRD-A49906757,5-HT Receptor_Inhibitor
BRD-K28143534,5-HT Receptor_Inhibitor
BRD-K10995081,5-HT Receptor_Inhibitor
BRD-K55703048,5-HT Receptor_Inhibitor
BRD-A83859836,5-HT Receptor_Inhibitor
BRD-K89923877,5-HT Receptor_Inhibitor
BRD-A14566392,5-HT Receptor_Inhibitor
BRD-K83153774,5-HT Receptor_Inhibitor
BRD-K07117950,AChE_Inhibitor
BRD-A49160188,AChE_Inhibitor
BRD-K85030058,AChE_Inhibitor
BRD-K81128206,AChE_Inhibitor
BRD-K42098891,AChE_Inhibitor
BRD-A81866333,Adenosine Receptor_Activator
BRD-A48809242,Adenosine Receptor_Activator
BRD-A20527803,Adenosine Receptor_Activator
BRD-K97799481,Adenosine Receptor_Inhibitor
BRD-K81225797,Adenosine Receptor_Inhibitor
BRD-K00603606,Adenosine Receptor_Inhibitor
BRD-A70449690,Adenylate Cyclase_Activator
BRD-K09602097,Adenylate Cyclase_Activator
BRD-K03015355,Adenylate Cyclase_Activator
BRD-K77830450,Adenylate Cyclase_Activator
BRD-K75615183,Adrenergic Receptor_Activator
BRD-A91555231,Adrenergic Receptor_Activator
BRD-A50157456,Adrenergic Receptor_Activator
BRD-K98530306,Adrenergic Receptor_Activator
BRD-A66563878,Adrenergic Receptor_Activator
BRD-A28856712,Adrenergic Receptor_Activator
BRD-A01320529,Adrenergic Receptor_Activator
BRD-A78322124,Adrenergic Receptor_Activator
BRD-A97701745,Adrenergic Receptor_Activator
BRD-A02990301,Adrenergic Receptor_Activator
BRD-K67847053,Adrenergic Receptor_Activator
BRD-K21565985,Adrenergic Receptor_Activator
BRD-A04327189,Adrenergic Receptor_Activator
BRD-A88254928,Adrenergic Receptor_Activator
BRD-K77641333,Adrenergic Receptor_Activator
BRD-K06335600,Adrenergic Receptor_Activator
BRD-K62736196,Adrenergic Receptor_Activator
BRD-K68264559,Adrenergic Receptor_Activator
BRD-K32830106,Adrenergic Receptor_Activator
BRD-K90789829,Adrenergic Receptor_Inhibitor
BRD-K10995081,Adrenergic Receptor_Inhibitor
BRD-K55703048,Adrenergic Receptor_Inhibitor
BRD-A67799922,Adrenergic Receptor_Inhibitor
BRD-K47936004,Adrenergic Receptor_Inhibitor
BRD-A09056319,Adrenergic Receptor_Inhibitor
BRD-A03623303,Adrenergic Receptor_Inhibitor
BRD-A10070317,Adrenergic Receptor_Inhibitor
BRD-K04389336,Adrenergic Receptor_Inhibitor
BRD-A22256192,Adrenergic Receptor_Inhibitor
BRD-K46211610,Adrenergic Receptor_Inhibitor
BRD-A10977446,Adrenergic Receptor_Inhibitor
BRD-A42167015,Adrenergic Receptor_Inhibitor
BRD-A33168282,Adrenergic Receptor_Inhibitor
BRD-A29260609,Adrenergic Receptor_Inhibitor
BRD-A02759312,Adrenergic Receptor_Inhibitor
BRD-K76810206,Adrenergic Receptor_Inhibitor
BRD-K73196317,Adrenergic Receptor_Inhibitor
BRD-K90333595,Adrenergic Receptor_Inhibitor
BRD-K01292756,Adrenergic Receptor_Inhibitor
BRD-K49111258,Adrenergic Receptor_Inhibitor
BRD-A51410489,Adrenergic Receptor_Inhibitor
BRD-K35586044,Adrenergic Receptor_Inhibitor
BRD-A13188892,Adrenergic Receptor_Inhibitor
BRD-A07440155,Adrenergic Receptor_Inhibitor
BRD-A07395371,Adrenergic Receptor_Inhibitor
BRD-A87445400,Adrenergic Receptor_Inhibitor
BRD-A01787639,Adrenergic Receptor_Inhibitor
BRD-K12040459,Akt_Inhibitor
BRD-A11706664,Akt_Inhibitor
BRD-A42649439,Akt_Inhibitor
BRD-K80431395,Akt_Inhibitor
BRD-A87137733,Akt_Inhibitor
BRD-K98493452,Akt_Inhibitor
BRD-A37704979,Akt_Inhibitor
BRD-K99291625,Akt_Inhibitor
BRD-K61401890,Akt_Inhibitor
BRD-K35498378,Aldose Reductase_Inhibitor
BRD-K68332390,Aldose Reductase_Inhibitor
BRD-K33583600,Aldose Reductase_Inhibitor
BRD-K44067360,AMPK_Activator
BRD-K79602928,AMPK_Activator
BRD-K11399644,AMPK_Activator
BRD-A29485665,Androgen Receptor_Activator
BRD-K82164249,Androgen Receptor_Activator
BRD-A20243730,Androgen Receptor_Activator
BRD-K48970916,Androgen Receptor_Activator
BRD-A92537424,Androgen Receptor_Activator
BRD-K28307902,Androgen Receptor_Inhibitor
BRD-A39290993,Androgen Receptor_Inhibitor
BRD-K90027355,Androgen Receptor_Inhibitor
BRD-K56851771,Androgen Receptor_Inhibitor
BRD-K37846922,Androgen Receptor_Inhibitor
BRD-K73999723,Angiotensin Receptor_Inhibitor
BRD-K76205745,Angiotensin Receptor_Inhibitor
